catchment,River,Station,Country,Latitude,Longitude,Catchment Area,Altitude (m),Number of Years,LINKNO,Ecoregion_Name,Continent,BIOME,ECO_NAME,quality,strmOrder,Magnitude,strmDrop,WSNO,length_km,drain_den,gord,PathLength,TotalLength,MeanTemp01,MeanTemp02,MeanTemp03,MeanTemp04,MeanTemp05,MeanTemp06,MeanTemp07,MeanTemp08,MeanTemp09,MeanTemp10,MeanTemp11,MeanTemp12,MeanTempAnn,MeanPrec01,MeanPrec02,MeanPrec03,MeanPrec04,MeanPrec05,MeanPrec06,MeanPrec07,MeanPrec08,MeanPrec09,MeanPrec10,MeanPrec11,MeanPrec12,MeanPrecAnn,CumPrec01,CumPrec02,CumPrec03,CumPrec04,CumPrec05,CumPrec06,CumPrec07,CumPrec08,CumPrec09,CumPrec10,CumPrec11,CumPrec12,CumPrecTotal,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,FEOW_ID,ID,cls1,cls10,cls11,cls12,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,Dam_SurfaceArea,Dam_Count,HydroLakes_Area_sqkm,MeanPopden_2000,MeanPopden_2005,MeanPopden_2010,MeanPopden_2015,MeanHumanFootprint,meanPercentDC_Imperfectly,meanPercentDC_ModeratelyWell,meanPercentDC_Poor,meanPercentDC_SomewhatExcessive,meanPercentDC_VeryPoor,meanPercentDC_Well,tempcv,precipcv,forest,otherveg,human,water,damareaN,damcountN,strmsize
1159305,SEEKOEIRIVIER,DE EERSTEPOORT,ZA,-30.53472222,24.9625,8266,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159310,RENOSTERSPRUIT,SHANNON VALLEY (27817207),ZA,-29.144167,26.318056,337.307251,1348,100,,Southern Temperate Highveld,Africa and Madagascar,Montane Grasslands and Shrublands,Highveld grasslands,high,,,,,,,5,0.331658334,4.379653931,22.79999924,21.89999962,19.70000076,15.69999981,11.30000019,7.400000095,7.599999905,10.5,14.89999962,18,20,21.89999962,15.9749999,106.6623972,129.4102035,104.3529301,57.41056542,22.9820141,12.24699436,12.05132706,21.65681283,33.63698814,67.93509458,79.07627221,79.76407243,60.598806,35978,43651,35199,19365,7752,4131,4065,7305,11346,22915,26673,26905,245285,161,166,52,5167,305,-9,314,215,90,222,90,552,88,9,61,249,32,238,32,575,575,0,0,0.004737309,0,0,0.000154804,0.002410584,0.443365999,0.330920299,0.203928184,0,0.01490318,0,0,0,,,,,,8.095535608,50.65936021,9.677160096,0,0,0,135.1938429,166.5628724,0.002565388,0.978214482,0.218831364,0,0,0,2
1159320,RIET,KROMDRAAI (27817212),ZA,-29.658056,25.972778,2381,1319,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159330,RIET,KLIPDRIFT,ZA,-29.0425,24.59916667,31233,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159333,MODDER,LIKATLONG,ZA,-29.16083333,26.57222222,1650,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159335,MODDER,TWEERIVIERE,ZA,-29.02861111,24.63833333,17313,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159400,HARTS,TAUNG (27817303),ZA,-27.573333,24.745833,11188.80176,1094,100,61062,Southern Temperate Highveld,Africa and Madagascar,Deserts and Xeric Shrublands,Kalahari xeric savanna,high,2,6,10,61062,375.6489958,0.035133255,6,2.916830778,144.1855927,25.10000038,24.20000076,22.29999924,18.60000038,14.19999981,10.80000019,10.30000019,13.39999962,17.5,20.70000076,22.89999962,24.5,18.70833341,140.0915874,115.1640745,110.9930292,61.62903006,19.47688454,7.618063295,4.233339817,8.861628093,21.50820125,55.46286486,91.38485264,105.0817617,61.79210978,1567457,1288548,1241879,689555,217923,85237,47366,99151,240651,620563,1022487,1175739,8296556,186,168,52,5197,330,11,319,237,113,245,113,441,92,4,80,236,16,217,16,575,575,0,0,0.000900756,0.002185379,2.98E-05,0.000523973,0.058205808,0.071505583,0.426792825,0.4376536,0,0.002296781,5.699999809,2,47.40613556,26.16490475,27.62000375,29.19330019,30.89533045,31.97902277,6.087168802,48.29773769,5.734529666,16.30209473,0,0,128.9292721,179.6602651,0.058759581,0.935952008,0.439950381,0.002185379,0.000509438,0.00017875,2
1159403,HARTS,ESPAGSDRIF,ZA,-27.90320789,24.61514311,23900,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159413,VETRIVIER,FIZANTKRAAL,ZA,-27.935,26.12444444,16153,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159490,VAAL RIVER,DE HOOP 65,ZA,-28.51622689,24.60069589,121220,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159510,VALSRIVIER,GROOTDRAAI (27817602),ZA,-27.398333,26.613056,7801,1259,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159520,HEUNINGSPRUIT,DANKBAAR (27817703),ZA,-27.355833,27.285556,905.2814331,1364,76,37966,Southern Temperate Highveld,Africa and Madagascar,Montane Grasslands and Shrublands,Highveld grasslands,high,1,1,27,37966,36.14816111,0.032285786,5,0.589154005,11.64541531,22.20000076,21.5,20.10000038,16.60000038,12.39999962,9.199999809,9.199999809,11.89999962,16.29999924,19.10000038,20.60000038,21.89999962,16.75,137.081128,106.127218,105.1794464,60.77115689,20.01256111,9.147431613,8.104661967,18.1026578,32.25847668,85.81309321,115.5596439,117.7390766,67.99137935,124097,96075,95217,55015,18117,8281,7337,16388,29203,77685,104614,106587,738616,165,155,53,4797,289,-3,292,213,97,217,97,622,106,7,67,280,25,279,25,575,575,0,0,0,0.001618384,0,0,0.002255243,0.002549425,0.22874305,0.76508554,0,0,0.300000012,1,3.035075665,1.555636149,1.546196458,1.537144467,1.528471891,26.17641083,0.036840736,30.63152665,17.25846353,0,0,0,129.4150028,171.2773829,0.002255243,0.996378015,0.76508554,0.001618384,0.000331389,0.001104629,2
1159525,RENOSTERRIVIER,ARRIESRUST,ZA,-27.04628,27.00464,5758,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159535,VAAL RIVER,KLIPPLAATDRIFT,ZA,-27.38972222,26.46388889,79903,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159545,VAAL RIVER,PILGRIMS ESTATE,ZA,-27.01011,26.69808,63437,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159547,MOOIRIVIER,HOOGEKRAAL,ZA,-26.8805,26.96428,-999,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159548,MOOIRIVIER,WITRAND,ZA,-26.64428,27.09033,3595,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159549,MOOIRIVIERLOOP,BLAAUWBANK,ZA,-26.37022,27.24811,1511,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159550,VAAL RIVER,DE VAAL,ZA,-26.97056,27.20967,49120,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159560,RIETSPRUIT,KAALPLAATS,ZA,-26.72867,27.718,1121,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159601,WONDERBOOMSPRUIT,DIEPKLOOF (27819101),ZA,-31.000833,26.353056,1336.277832,1414,111,45662,Southern Temperate Highveld,Africa and Madagascar,Montane Grasslands and Shrublands,Highveld grasslands,low,1,1,83,45662,64.80240567,0.047786267,6,0.782004714,17.13038445,21.60000038,20.89999962,18.79999924,14.89999962,10.69999981,7.099999905,6.699999809,9.600000381,13.19999981,16.29999924,18.39999962,20.5,14.89166645,92.81078907,127.8282075,112.8702403,58.73553996,33.91210938,23.82962528,23.04311219,33.14580167,36.28886062,60.51960009,68.75890462,82.98199472,62.89373212,124021,170814,150826,78487,45316,31843,30792,44292,48492,80871,91881,110887,1008522,141,162,52,5195,292,-19,311,197,70,204,70,510,83,14,53,227,52,197,52,575,575,0,0,0.000683323,0.000537261,0,0.035679244,0.084515838,0.465301961,0.304483456,0.108344841,0,0.000546504,0.899999976,3,0.730179429,8.382807134,8.731974583,9.095687256,9.474559424,12.70292995,27.66346731,26.70304824,0,0,0,0,136.126497,155.9414686,0.120195082,0.878130258,0.108891345,0.000537261,0.000673513,0.002245042,2
1159650,ORANGE RIVER,ALIWAL NOORD (27819103),ZA,-30.678056,26.716389,37070,1298,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159651,ORANGE RIVER,ORANJEDRAAI (27819109),ZA,-30.336389,27.358333,24202.95898,1474,63,64014,Drakensberg - Maloti Highlands,Africa and Madagascar,Montane Grasslands and Shrublands,Highveld grasslands,high,3,25,45,64014,1085.48211,0.051002813,8,4.084047794,311.2620239,21.60000038,20.79999924,19,15.39999962,11.39999962,7.099999905,6.699999809,10.60000038,14.10000038,17.20000076,18.79999924,20.5,15.26666661,153.9556797,144.8754263,124.6379008,68.9878044,27.5889407,20.33809174,17.15856315,33.92750451,54.84201337,108.4581023,127.9327045,129.0864478,84.31576493,3726183,3506414,3016606,1669709,667734,492242,415288,821146,1327339,2625007,3096350,3124274,24488292,147,149,51,4858,283,-7,290,197,79,203,79,691,105,13,55,293,52,285,52,574,574,0,0,0.00154075,0.00061231,0.000113712,0.045702324,0.124436309,0.266085673,0.416336361,0.145013002,7.30E-05,0.000386109,56.90000153,2,52.95245361,38.9565836,38.68731086,38.45841111,38.27001358,27.49029388,16.91129483,31.24626985,1.929534862,0,0,0.091883226,134.5741137,162.0373582,0.170252345,0.827435036,0.145399111,0.00068531,0.002350952,8.26E-05,3
1159653,KORNETSPRUIT,MAGHALEEN,ZA,-30.15972222,27.40138889,2990,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159655,ORANGE RIVER,LESOTHO - MANTILANE,ZA,-30.06186111,28.50975,10735,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159660,KRAAIRIVIER,ROODEWAL (27819111),ZA,-30.830556,26.920556,8379.349609,1358,58,54846,Southern Temperate Highveld,Africa and Madagascar,Montane Grasslands and Shrublands,Highveld grasslands,high,3,11,35,54846,291.3099526,0.042582869,7,1.642809033,108.4295349,21.89999962,21.29999924,19.29999924,15.5,11.30000019,7.199999809,7,10,13.89999962,16.79999924,18.79999924,20.79999924,15.31666629,115.5983513,144.4645535,115.1923532,68.34193902,31.94508076,22.79830881,21.85682762,32.8945578,43.88550629,82.42358085,95.28412553,108.6592686,73.61203778,968639,1210519,965237,572661,267679,191035,183146,275635,367732,690656,798419,910494,7401852,148,157,51,5098,294,-13,307,202,77,208,77,585,92,14,54,253,49,234,49,575,575,0,0,0.000131028,0.000175235,0.000255849,0.041737484,0.151831938,0.274499937,0.365429316,0.165865815,0,0.000146853,0,0,2.192214251,4.818385427,4.901725836,4.991343299,5.087732877,17.87914498,36.57846916,26.09536325,0.181383162,0,0,0,135.2632217,157.7131197,0.193825271,0.805795068,0.166012668,0.000175235,0,0,3
1159670,LITTLE CALEDON RIVER,THE POPLARS (27818012),ZA,-28.694722,28.234722,522,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159675,CALEDON RIVER,WILGERDRAAI,ZA,-29.61666667,27.06555556,12852,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159805,WILGERIVIER,FRANKFORT,ZA,-27.27166667,28.49111111,15673,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159811,LIEBENBERGSVLEIRIVIER,FREDERIKSDAL,ZA,-27.43083333,28.52638889,4650,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159813,WILGERIVIER,BALLINGTOMP,ZA,-27.30138889,28.58555556,10489,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159815,WILGERIVIER,BAVARIA,ZA,-27.80277778,28.7675,7497,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159820,CORNELISRIVIER,C8H003 (27817803),ZA,-27.847778,28.945,869.8638306,1602,69,42638,Southern Temperate Highveld,Africa and Madagascar,Montane Grasslands and Shrublands,Highveld grasslands,high,1,1,15,42638,58.24469021,0.053726299,5,0.635702074,10.97297001,19.70000076,19.10000038,17.79999924,14.39999962,10.5,7,7.099999905,10,13.89999962,16.20000076,17.79999924,19.20000076,14.39166669,153.949383,131.1285698,98.97641099,49.09619011,22.8173644,10.58671447,9.736006605,23.89569409,37.02763452,100.5916063,144.5191714,146.0033117,77.36067144,133915,114064,86096,42707,19848,9209,8469,20786,32209,87501,125712,127003,807519,139,155,54,4492,261,-22,283,184,76,189,76,687,109,10,64,312,37,302,37,575,575,0,0,0,0.000139127,0,0.002444292,0.016975873,0.047560745,0.316718528,0.614666383,0,0.001451989,0,0,0.756370306,12.34448752,11.96035108,11.58816741,11.2275654,23.92135614,6.127285238,20.90404634,31.53842003,0,0,0,132.6214247,174.2331312,0.019420165,0.978945656,0.616118372,0.000139127,0,0,2
