,Date,flow,average temperature (C),precipitation,ET [kg/m^2/8day],localWaterYear
227,1987-05-16,8.6,,,,1
228,1987-05-17,9.1,,,,1
229,1987-05-18,9.4,,,,1
230,1987-05-19,9.3,,,,1
231,1987-05-20,8.4,,,,1
232,1987-05-21,7.8,,,,1
233,1987-05-22,7.5,,,,1
234,1987-05-23,7.7,,,,1
235,1987-05-24,8.2,,,,1
236,1987-05-25,11.0,,,,1
237,1987-05-26,11.2,,,,1
238,1987-05-27,11.2,,,,1
239,1987-05-28,13.1,,,,1
240,1987-05-29,14.4,,,,1
241,1987-05-30,15.9,,,,1
242,1987-05-31,17.8,,,,1
243,1987-06-01,26.4,,,,1
244,1987-06-02,45.5,,,,1
245,1987-06-03,47.3,,,,1
246,1987-06-04,45.1,,,,1
247,1987-06-05,39.2,,,,1
248,1987-06-06,35.4,,,,1
249,1987-06-07,33.1,,,,1
250,1987-06-08,33.7,,,,1
251,1987-06-09,34.7,,,,1
252,1987-06-10,34.9,,,,1
253,1987-06-11,39.0,,,,1
254,1987-06-12,64.8,,,,1
255,1987-06-13,103.0,,,,1
256,1987-06-14,106.0,,,,1
257,1987-06-15,82.5,,,,1
258,1987-06-16,69.3,,,,1
259,1987-06-17,58.9,,,,1
260,1987-06-18,50.5,,,,1
261,1987-06-19,43.1,,,,1
262,1987-06-20,38.8,,,,1
263,1987-06-21,39.5,,,,1
264,1987-06-22,43.2,,,,1
265,1987-06-23,59.7,,,,1
266,1987-06-24,71.0,,,,1
267,1987-06-25,67.2,,,,1
268,1987-06-26,60.6,,,,1
269,1987-06-27,54.0,,,,1
270,1987-06-28,52.1,,,,1
271,1987-06-29,53.3,,,,1
272,1987-06-30,61.3,,,,1
273,1987-07-01,61.5,,,,1
274,1987-07-02,58.1,,,,1
275,1987-07-03,52.0,,,,1
276,1987-07-04,49.7,,,,1
277,1987-07-05,48.3,,,,1
278,1987-07-06,48.5,,,,1
279,1987-07-07,50.6,,,,1
280,1987-07-08,49.6,,,,1
281,1987-07-09,47.5,,,,1
282,1987-07-10,46.2,,,,1
283,1987-07-11,43.4,,,,1
284,1987-07-12,41.0,,,,1
285,1987-07-13,42.8,,,,1
286,1987-07-14,47.2,,,,1
287,1987-07-15,58.1,,,,1
288,1987-07-16,79.1,,,,1
289,1987-07-17,86.9,,,,1
290,1987-07-18,100.0,,,,1
291,1987-07-19,135.0,,,,1
292,1987-07-20,189.0,,,,1
293,1987-07-21,239.0,,,,1
294,1987-07-22,280.0,,,,1
295,1987-07-23,321.0,,,,1
296,1987-07-24,360.0,,,,1
297,1987-07-25,385.0,,,,1
298,1987-07-26,409.0,,,,1
299,1987-07-27,411.0,,,,1
300,1987-07-28,386.0,,,,1
301,1987-07-29,362.0,,,,1
302,1987-07-30,339.0,,,,1
303,1987-07-31,338.0,,,,1
304,1987-08-01,335.0,,,,1
305,1987-08-02,324.0,,,,1
306,1987-08-03,317.0,,,,1
307,1987-08-04,322.0,,,,1
308,1987-08-05,312.0,,,,1
309,1987-08-06,274.0,,,,1
310,1987-08-07,234.0,,,,1
311,1987-08-08,219.0,,,,1
312,1987-08-09,204.0,,,,1
313,1987-08-10,204.0,,,,1
314,1987-08-11,237.0,,,,1
315,1987-08-12,288.0,,,,1
316,1987-08-13,325.0,,,,1
317,1987-08-14,352.0,,,,1
318,1987-08-15,370.0,,,,1
319,1987-08-16,384.0,,,,1
320,1987-08-17,392.0,,,,1
321,1987-08-18,388.0,,,,1
322,1987-08-19,375.0,,,,1
323,1987-08-20,384.0,,,,1
324,1987-08-21,417.0,,,,1
325,1987-08-22,417.0,,,,1
326,1987-08-23,427.0,,,,1
327,1987-08-24,444.0,,,,1
328,1987-08-25,460.0,,,,1
329,1987-08-26,466.0,,,,1
330,1987-08-27,473.0,,,,1
331,1987-08-28,486.0,,,,1
332,1987-08-29,494.0,,,,1
333,1987-08-30,495.0,,,,1
334,1987-08-31,499.0,,,,1
335,1987-09-01,505.0,,,,1
336,1987-09-02,509.0,,,,1
337,1987-09-03,509.0,,,,1
338,1987-09-04,514.0,,,,1
339,1987-09-05,518.0,,,,1
340,1987-09-06,523.0,,,,1
341,1987-09-07,525.0,,,,1
342,1987-09-08,523.0,,,,1
343,1987-09-09,516.0,,,,1
344,1987-09-10,499.0,,,,1
345,1987-09-11,470.0,,,,1
346,1987-09-12,437.0,,,,1
347,1987-09-13,400.0,,,,1
348,1987-09-14,370.0,,,,1
349,1987-09-15,379.0,,,,1
350,1987-09-16,415.0,,,,1
351,1987-09-17,458.0,,,,1
352,1987-09-18,488.0,,,,1
353,1987-09-19,497.0,,,,1
354,1987-09-20,494.0,,,,1
355,1987-09-21,483.0,,,,1
356,1987-09-22,456.0,,,,1
357,1987-09-23,432.0,,,,1
358,1987-09-24,443.0,,,,1
359,1987-09-25,479.0,,,,1
360,1987-09-26,486.0,,,,1
361,1987-09-27,478.0,,,,1
362,1987-09-28,478.0,,,,1
363,1987-09-29,490.0,,,,1
364,1987-09-30,502.0,,,,1
365,1987-10-01,511.0,,,,1
366,1987-10-02,524.0,,,,1
367,1987-10-03,540.0,,,,1
368,1987-10-04,543.0,,,,1
369,1987-10-05,527.0,,,,1
370,1987-10-06,495.0,,,,1
371,1987-10-07,448.0,,,,1
372,1987-10-08,390.0,,,,1
373,1987-10-09,353.0,,,,1
374,1987-10-10,328.0,,,,1
375,1987-10-11,319.0,,,,1
376,1987-10-12,326.0,,,,1
377,1987-10-13,329.0,,,,1
378,1987-10-14,330.0,,,,1
379,1987-10-15,320.0,,,,1
380,1987-10-16,299.0,,,,1
381,1987-10-17,280.0,,,,1
382,1987-10-18,268.0,,,,1
383,1987-10-19,265.0,,,,1
384,1987-10-20,262.0,,,,1
385,1987-10-21,253.0,,,,1
386,1987-10-22,247.0,,,,1
387,1987-10-23,253.0,,,,1
388,1987-10-24,247.0,,,,1
389,1987-10-25,235.0,,,,1
390,1987-10-26,212.0,,,,1
391,1987-10-27,189.0,,,,1
392,1987-10-28,169.0,,,,1
393,1987-10-29,156.0,,,,1
394,1987-10-30,148.0,,,,1
395,1987-10-31,132.0,,,,1
396,1987-11-01,125.0,,,,1
397,1987-11-02,122.0,,,,1
398,1987-11-03,117.0,,,,1
399,1987-11-04,111.0,,,,1
400,1987-11-05,105.0,,,,1
401,1987-11-06,101.0,,,,1
402,1987-11-07,95.8,,,,1
403,1987-11-08,91.4,,,,1
404,1987-11-09,87.4,,,,1
405,1987-11-10,83.9,,,,1
406,1987-11-11,80.1,,,,1
407,1987-11-12,77.8,,,,1
408,1987-11-13,76.5,,,,1
409,1987-11-14,74.5,,,,1
410,1987-11-15,72.2,,,,1
411,1987-11-16,68.6,,,,1
412,1987-11-17,67.0,,,,1
413,1987-11-18,65.1,,,,1
414,1987-11-19,63.9,,,,1
415,1987-11-20,62.8,,,,1
416,1987-11-21,61.5,,,,1
417,1987-11-22,58.7,,,,1
418,1987-11-23,56.3,,,,1
419,1987-11-24,54.2,,,,1
420,1987-11-25,52.3,,,,1
421,1987-11-26,51.7,,,,1
422,1987-11-27,49.8,,,,1
423,1987-11-28,48.2,,,,1
424,1987-11-29,47.3,,,,1
425,1987-11-30,46.5,,,,1
426,1987-12-01,45.7,,,,1
427,1987-12-02,44.1,,,,1
428,1987-12-03,41.8,,,,1
429,1987-12-04,39.1,,,,1
430,1987-12-05,38.6,,,,1
431,1987-12-06,38.1,,,,1
432,1987-12-07,38.4,,,,1
433,1987-12-08,41.0,,,,1
434,1987-12-09,43.3,,,,1
435,1987-12-10,45.2,,,,1
436,1987-12-11,48.4,,,,1
437,1987-12-12,53.8,,,,1
438,1987-12-13,56.7,,,,1
439,1987-12-14,54.5,,,,1
440,1987-12-15,47.0,,,,1
441,1987-12-16,41.3,,,,1
442,1987-12-17,37.5,,,,1
443,1987-12-18,35.4,,,,1
444,1987-12-19,33.6,,,,1
445,1987-12-20,31.7,,,,1
446,1987-12-21,30.4,,,,1
447,1987-12-22,28.9,,,,1
448,1987-12-23,28.2,,,,1
449,1987-12-24,27.6,,,,1
450,1987-12-25,26.6,,,,1
451,1987-12-26,25.5,,,,1
452,1987-12-27,24.5,,,,1
453,1987-12-28,23.8,,,,1
454,1987-12-29,23.3,,,,1
455,1987-12-30,22.8,,,,1
456,1987-12-31,22.7,,,,1
457,1988-01-01,21.8,,,,1
458,1988-01-02,21.1,,,,1
459,1988-01-03,20.6,,,,1
460,1988-01-04,20.0,,,,1
461,1988-01-05,19.1,,,,1
462,1988-01-06,18.9,,,,1
463,1988-01-07,18.5,,,,1
464,1988-01-08,18.0,,,,1
465,1988-01-09,17.5,,,,1
466,1988-01-10,17.0,,,,1
467,1988-01-11,16.5,,,,1
468,1988-01-12,16.0,,,,1
469,1988-01-13,15.5,,,,1
470,1988-01-14,15.0,,,,1
471,1988-01-15,14.7,,,,1
472,1988-01-16,14.3,,,,1
473,1988-01-17,14.0,,,,1
474,1988-01-18,13.7,,,,1
475,1988-01-19,13.6,,,,1
476,1988-01-20,13.3,,,,1
477,1988-01-21,13.3,,,,1
478,1988-01-22,13.0,,,,1
479,1988-01-23,12.9,,,,1
480,1988-01-24,12.6,,,,1
481,1988-01-25,11.9,,,,1
482,1988-01-26,11.6,,,,1
483,1988-01-27,11.5,,,,1
484,1988-01-28,11.5,,,,1
485,1988-01-29,11.2,,,,1
486,1988-01-30,11.2,,,,1
487,1988-01-31,10.8,,,,1
488,1988-02-01,10.5,,,,1
489,1988-02-02,10.2,,,,1
490,1988-02-03,10.1,,,,1
491,1988-02-04,9.8,,,,1
492,1988-02-05,9.4,,,,1
493,1988-02-06,9.4,,,,1
494,1988-02-07,9.3,,,,1
495,1988-02-08,8.8,,,,1
496,1988-02-09,8.4,,,,1
497,1988-02-10,8.1,,,,1
498,1988-02-11,8.0,,,,1
499,1988-02-12,7.7,,,,1
500,1988-02-13,7.4,,,,1
501,1988-02-14,6.9,,,,1
502,1988-02-15,6.8,,,,1
503,1988-02-16,6.7,,,,1
504,1988-02-17,6.3,,,,1
505,1988-02-18,6.1,,,,1
506,1988-02-19,5.7,,,,1
507,1988-02-20,5.6,,,,1
508,1988-02-21,5.3,,,,1
509,1988-02-22,5.3,,,,1
510,1988-02-23,5.3,,,,1
511,1988-02-24,5.0,,,,1
512,1988-02-25,4.9,,,,1
513,1988-02-26,4.5,,,,1
514,1988-02-27,4.4,,,,1
515,1988-02-28,4.4,,,,1
516,1988-02-29,4.2,,,,1
517,1988-03-01,4.7,,,,2
518,1988-03-02,4.9,,,,2
519,1988-03-03,4.4,,,,2
520,1988-03-04,3.9,,,,2
521,1988-03-05,3.9,,,,2
522,1988-03-06,4.3,,,,2
523,1988-03-07,4.4,,,,2
524,1988-03-08,4.1,,,,2
525,1988-03-09,3.8,,,,2
526,1988-03-10,3.8,,,,2
527,1988-03-11,4.2,,,,2
528,1988-03-12,5.6,,,,2
529,1988-03-13,6.6,,,,2
530,1988-03-14,6.2,,,,2
531,1988-03-15,5.8,,,,2
532,1988-03-16,5.9,,,,2
533,1988-03-17,4.9,,,,2
534,1988-03-18,4.4,,,,2
535,1988-03-19,4.3,,,,2
536,1988-03-20,3.9,,,,2
537,1988-03-21,3.8,,,,2
538,1988-03-22,3.5,,,,2
539,1988-03-23,3.2,,,,2
540,1988-03-24,2.9,,,,2
541,1988-03-25,2.90888888888889,,,,2
542,1988-03-26,2.91777777777778,,,,2
543,1988-03-27,2.92666666666667,,,,2
544,1988-03-28,2.93555555555556,,,,2
545,1988-03-29,2.94444444444444,,,,2
546,1988-03-30,2.95333333333333,,,,2
547,1988-03-31,2.9622222222222203,,,,2
548,1988-04-01,2.9711111111111097,,,,2
549,1988-04-02,2.98,,,,2
550,1988-04-03,2.9888888888888903,,,,2
551,1988-04-04,2.99777777777778,,,,2
552,1988-04-05,3.00666666666667,,,,2
553,1988-04-06,3.01555555555556,,,,2
554,1988-04-07,3.02444444444444,,,,2
555,1988-04-08,3.03333333333333,,,,2
556,1988-04-09,3.0422222222222204,,,,2
557,1988-04-10,3.0511111111111098,,,,2
558,1988-04-11,3.06,,,,2
559,1988-04-12,3.0688888888888903,,,,2
560,1988-04-13,3.07777777777778,,,,2
561,1988-04-14,3.08666666666667,,,,2
562,1988-04-15,3.09555555555556,,,,2
563,1988-04-16,3.10444444444444,,,,2
564,1988-04-17,3.11333333333333,,,,2
565,1988-04-18,3.1222222222222205,,,,2
566,1988-04-19,3.13111111111111,,,,2
567,1988-04-20,3.14,,,,2
568,1988-04-21,3.14888888888889,,,,2
569,1988-04-22,3.15777777777778,,,,2
570,1988-04-23,3.1666666666666696,,,,2
571,1988-04-24,3.17555555555556,,,,2
572,1988-04-25,3.18444444444444,,,,2
573,1988-04-26,3.1933333333333302,,,,2
574,1988-04-27,3.20222222222222,,,,2
575,1988-04-28,3.21111111111111,,,,2
576,1988-04-29,3.22,,,,2
577,1988-04-30,3.22888888888889,,,,2
578,1988-05-01,3.23777777777778,,,,2
579,1988-05-02,3.2466666666666697,,,,2
580,1988-05-03,3.25555555555556,,,,2
581,1988-05-04,3.26444444444444,,,,2
582,1988-05-05,3.2733333333333303,,,,2
583,1988-05-06,3.28222222222222,,,,2
584,1988-05-07,3.29111111111111,,,,2
585,1988-05-08,3.3,,,,2
586,1988-05-09,3.8,,,,2
587,1988-05-10,4.4,,,,2
588,1988-05-11,5.1,,,,2
589,1988-05-12,6.2,,,,2
590,1988-05-13,7.2,,,,2
591,1988-05-14,7.3,,,,2
592,1988-05-15,8.0,,,,2
593,1988-05-16,8.6,,,,2
594,1988-05-17,8.7,,,,2
595,1988-05-18,8.1,,,,2
596,1988-05-19,6.6,,,,2
597,1988-05-20,6.7,,,,2
598,1988-05-21,6.8,,,,2
599,1988-05-22,6.6,,,,2
600,1988-05-23,6.8,,,,2
601,1988-05-24,7.7,,,,2
602,1988-05-25,10.0,,,,2
603,1988-05-26,10.0,,,,2
604,1988-05-27,12.8,,,,2
605,1988-05-28,13.3,,,,2
606,1988-05-29,13.3,,,,2
607,1988-05-30,13.2,,,,2
608,1988-05-31,14.5,,,,2
609,1988-06-01,13.3,,,,2
610,1988-06-02,11.6,,,,2
611,1988-06-03,9.9,,,,2
612,1988-06-04,8.2,,,,2
613,1988-06-05,7.0,,,,2
614,1988-06-06,8.1,,,,2
615,1988-06-07,10.8,,,,2
616,1988-06-08,11.6,,,,2
617,1988-06-09,12.2,,,,2
618,1988-06-10,12.1,,,,2
619,1988-06-11,12.1,,,,2
620,1988-06-12,12.6,,,,2
621,1988-06-13,11.9,,,,2
622,1988-06-14,11.5,,,,2
623,1988-06-15,11.3,,,,2
624,1988-06-16,11.7,,,,2
625,1988-06-17,12.9,,,,2
626,1988-06-18,14.4,,,,2
627,1988-06-19,15.8,,,,2
628,1988-06-20,15.3,,,,2
629,1988-06-21,14.2,,,,2
630,1988-06-22,13.6,,,,2
631,1988-06-23,13.8,,,,2
632,1988-06-24,14.6,,,,2
633,1988-06-25,16.8,,,,2
634,1988-06-26,21.4,,,,2
635,1988-06-27,27.1,,,,2
636,1988-06-28,28.6,,,,2
637,1988-06-29,28.1,,,,2
638,1988-06-30,29.0142857142857,,,,2
639,1988-07-01,29.9285714285714,,,,2
640,1988-07-02,30.842857142857103,,,,2
641,1988-07-03,31.75714285714289,,,,2
642,1988-07-04,32.6714285714286,,,,2
643,1988-07-05,33.5857142857143,,,,2
644,1988-07-06,34.5,,,,2
645,1988-07-07,36.2,,,,2
646,1988-07-08,35.4,,,,2
647,1988-07-09,34.6,,,,2
648,1988-07-10,33.2,,,,2
649,1988-07-11,34.4,,,,2
650,1988-07-12,33.6,,,,2
651,1988-07-13,33.0,,,,2
652,1988-07-14,38.7,,,,2
653,1988-07-15,45.3,,,,2
654,1988-07-16,50.9,,,,2
655,1988-07-17,62.2,,,,2
656,1988-07-18,64.2,,,,2
657,1988-07-19,60.3,,,,2
658,1988-07-20,60.1,,,,2
659,1988-07-21,63.5,,,,2
660,1988-07-22,64.6,,,,2
661,1988-07-23,64.0,,,,2
662,1988-07-24,72.4,,,,2
663,1988-07-25,92.2,,,,2
664,1988-07-26,101.0,,,,2
665,1988-07-27,144.0,,,,2
666,1988-07-28,186.0,,,,2
667,1988-07-29,198.0,,,,2
668,1988-07-30,202.0,,,,2
669,1988-07-31,214.0,,,,2
670,1988-08-01,224.0,,,,2
671,1988-08-02,235.0,,,,2
672,1988-08-03,237.0,,,,2
673,1988-08-04,238.0,,,,2
674,1988-08-05,257.0,,,,2
675,1988-08-06,258.0,,,,2
676,1988-08-07,257.0,,,,2
677,1988-08-08,252.0,,,,2
678,1988-08-09,227.0,,,,2
679,1988-08-10,216.0,,,,2
680,1988-08-11,226.0,,,,2
681,1988-08-12,270.0,,,,2
682,1988-08-13,320.0,,,,2
683,1988-08-14,360.0,,,,2
684,1988-08-15,390.0,,,,2
685,1988-08-16,420.0,,,,2
686,1988-08-17,447.0,,,,2
687,1988-08-18,460.0,,,,2
688,1988-08-19,471.0,,,,2
689,1988-08-20,478.0,,,,2
690,1988-08-21,483.0,,,,2
691,1988-08-22,486.0,,,,2
692,1988-08-23,484.0,,,,2
693,1988-08-24,475.0,,,,2
694,1988-08-25,465.0,,,,2
695,1988-08-26,469.0,,,,2
696,1988-08-27,476.0,,,,2
697,1988-08-28,427.0,,,,2
698,1988-08-29,377.0,,,,2
699,1988-08-30,363.0,,,,2
700,1988-08-31,348.0,,,,2
701,1988-09-01,349.0,,,,2
702,1988-09-02,370.0,,,,2
703,1988-09-03,394.0,,,,2
704,1988-09-04,417.0,,,,2
705,1988-09-05,439.0,,,,2
706,1988-09-06,455.0,,,,2
707,1988-09-07,469.0,,,,2
708,1988-09-08,486.0,,,,2
709,1988-09-09,507.0,,,,2
710,1988-09-10,526.0,,,,2
711,1988-09-11,542.0,,,,2
712,1988-09-12,553.0,,,,2
713,1988-09-13,557.0,,,,2
714,1988-09-14,555.0,,,,2
715,1988-09-15,554.0,,,,2
716,1988-09-16,553.0,,,,2
717,1988-09-17,543.0,,,,2
718,1988-09-18,531.0,,,,2
719,1988-09-19,524.0,,,,2
720,1988-09-20,521.0,,,,2
721,1988-09-21,540.0,,,,2
722,1988-09-22,551.0,,,,2
723,1988-09-23,560.0,,,,2
724,1988-09-24,559.0,,,,2
725,1988-09-25,554.0,,,,2
726,1988-09-26,544.0,,,,2
727,1988-09-27,509.0,,,,2
728,1988-09-28,461.0,,,,2
729,1988-09-29,420.0,,,,2
730,1988-09-30,392.0,,,,2
731,1988-10-01,360.0,,,,2
732,1988-10-02,329.0,,,,2
733,1988-10-03,300.0,,,,2
734,1988-10-04,286.0,,,,2
735,1988-10-05,275.0,,,,2
736,1988-10-06,271.0,,,,2
737,1988-10-07,265.0,,,,2
738,1988-10-08,245.0,,,,2
739,1988-10-09,222.0,,,,2
740,1988-10-10,200.0,,,,2
741,1988-10-11,181.0,,,,2
742,1988-10-12,169.0,,,,2
743,1988-10-13,161.0,,,,2
744,1988-10-14,154.0,,,,2
745,1988-10-15,145.0,,,,2
746,1988-10-16,136.0,,,,2
747,1988-10-17,129.0,,,,2
748,1988-10-18,124.0,,,,2
749,1988-10-19,122.0,,,,2
750,1988-10-20,120.0,,,,2
751,1988-10-21,118.0,,,,2
752,1988-10-22,116.0,,,,2
753,1988-10-23,112.0,,,,2
754,1988-10-24,105.0,,,,2
755,1988-10-25,95.6,,,,2
756,1988-10-26,80.8,,,,2
757,1988-10-27,76.5,,,,2
758,1988-10-28,73.9,,,,2
759,1988-10-29,74.9,,,,2
760,1988-10-30,78.9,,,,2
761,1988-10-31,84.4,,,,2
762,1988-11-01,86.0,,,,2
763,1988-11-02,86.6,,,,2
764,1988-11-03,89.2,,,,2
765,1988-11-04,86.6,,,,2
766,1988-11-05,85.5,,,,2
767,1988-11-06,80.9,,,,2
768,1988-11-07,76.3,,,,2
769,1988-11-08,75.6,,,,2
770,1988-11-09,75.1,,,,2
771,1988-11-10,71.5,,,,2
772,1988-11-11,67.8,,,,2
773,1988-11-12,62.1,,,,2
774,1988-11-13,57.5,,,,2
775,1988-11-14,53.3,,,,2
776,1988-11-15,49.5,,,,2
777,1988-11-16,41.5,,,,2
778,1988-11-17,39.4,,,,2
779,1988-11-18,38.0,,,,2
780,1988-11-19,36.6,,,,2
781,1988-11-20,36.1,,,,2
782,1988-11-21,34.3,,,,2
783,1988-11-22,32.7,,,,2
784,1988-11-23,32.2,,,,2
785,1988-11-24,35.1,,,,2
786,1988-11-25,33.9,,,,2
787,1988-11-26,32.3,,,,2
788,1988-11-27,29.3,,,,2
789,1988-11-28,26.0,,,,2
790,1988-11-29,25.5,,,,2
791,1988-11-30,25.3,,,,2
792,1988-12-01,23.9,,,,2
793,1988-12-02,23.8,,,,2
794,1988-12-03,30.0,,,,2
795,1988-12-04,34.4,,,,2
796,1988-12-05,33.0,,,,2
797,1988-12-06,30.0,,,,2
798,1988-12-07,28.1,,,,2
799,1988-12-08,26.2,,,,2
800,1988-12-09,25.4,,,,2
801,1988-12-10,23.7,,,,2
802,1988-12-11,21.3,,,,2
803,1988-12-12,20.1,,,,2
804,1988-12-13,19.4,,,,2
805,1988-12-14,18.2,,,,2
806,1988-12-15,17.9,,,,2
807,1988-12-16,17.66,,,,2
808,1988-12-17,17.42,,,,2
809,1988-12-18,17.18,,,,2
810,1988-12-19,16.94,,,,2
811,1988-12-20,16.7,,,,2
812,1988-12-21,16.46,,,,2
813,1988-12-22,16.22,,,,2
814,1988-12-23,15.98,,,,2
815,1988-12-24,15.74,,,,2
816,1988-12-25,15.5,,,,2
817,1988-12-26,14.4,,,,2
818,1988-12-27,14.0,,,,2
819,1988-12-28,13.7,,,,2
820,1988-12-29,13.5,,,,2
821,1988-12-30,12.9,,,,2
822,1988-12-31,12.4,,,,2
823,1989-01-01,12.2,,,,2
824,1989-01-02,12.1,,,,2
825,1989-01-03,11.8,,,,2
826,1989-01-04,11.2,,,,2
827,1989-01-05,11.2,,,,2
828,1989-01-06,11.2,,,,2
829,1989-01-07,10.9,,,,2
830,1989-01-08,9.8,,,,2
831,1989-01-09,9.4,,,,2
832,1989-01-10,8.4,,,,2
833,1989-01-11,8.0,,,,2
834,1989-01-12,8.0,,,,2
835,1989-01-13,7.7,,,,2
836,1989-01-14,6.8,,,,2
837,1989-01-15,6.5,,,,2
838,1989-01-16,6.5,,,,2
839,1989-01-17,6.4,,,,2
840,1989-01-18,6.2,,,,2
841,1989-01-19,5.8,,,,2
842,1989-01-20,5.6,,,,2
843,1989-01-21,5.3,,,,2
844,1989-01-22,5.0,,,,2
845,1989-01-23,5.0,,,,2
846,1989-01-24,5.0,,,,2
847,1989-01-25,5.0,,,,2
848,1989-01-26,5.0,,,,2
849,1989-01-27,5.0,,,,2
850,1989-01-28,5.0,,,,2
851,1989-01-29,5.0,,,,2
852,1989-01-30,5.0,,,,2
853,1989-01-31,5.0,,,,2
854,1989-02-01,5.0,,,,2
855,1989-02-02,5.0,,,,2
856,1989-02-03,5.0,,,,2
857,1989-02-04,5.0,,,,2
858,1989-02-05,5.0,,,,2
859,1989-02-06,5.0,,,,2
860,1989-02-07,4.9,,,,2
861,1989-02-08,4.7,,,,2
862,1989-02-09,4.8,,,,2
863,1989-02-10,5.1,,,,2
864,1989-02-11,5.3,,,,2
865,1989-02-12,5.3,,,,2
866,1989-02-13,5.2,,,,2
867,1989-02-14,5.0,,,,2
868,1989-02-15,5.1,,,,2
869,1989-02-16,5.3,,,,2
870,1989-02-17,5.4,,,,2
871,1989-02-18,5.9,,,,2
872,1989-02-19,6.1,,,,2
873,1989-02-20,6.1,,,,2
874,1989-02-21,6.4,,,,2
875,1989-02-22,6.1,,,,2
876,1989-02-23,5.6,,,,2
877,1989-02-24,5.3,,,,2
878,1989-02-25,5.0,,,,2
879,1989-02-26,4.9,,,,2
880,1989-02-27,4.7,,,,2
881,1989-02-28,4.4,,,,2
882,1989-03-01,4.4,,,,3
883,1989-03-02,4.3,,,,3
884,1989-03-03,4.1,,,,3
885,1989-03-04,3.8,,,,3
886,1989-03-05,3.8,,,,3
887,1989-03-06,3.8,,,,3
888,1989-03-07,3.8,,,,3
889,1989-03-08,3.8,,,,3
890,1989-03-09,3.8,,,,3
891,1989-03-10,3.8,,,,3
892,1989-03-11,3.7,,,,3
893,1989-03-12,3.5,,,,3
894,1989-03-13,3.2,,,,3
895,1989-03-14,3.2,,,,3
896,1989-03-15,3.2,,,,3
897,1989-03-16,3.2,,,,3
898,1989-03-17,3.2,,,,3
899,1989-03-18,3.2,,,,3
900,1989-03-19,3.2,,,,3
901,1989-03-20,3.2,,,,3
902,1989-03-21,3.2,,,,3
903,1989-03-22,3.2,,,,3
904,1989-03-23,3.1,,,,3
905,1989-03-24,2.9,,,,3
906,1989-03-25,2.9,,,,3
907,1989-03-26,2.9,,,,3
908,1989-03-27,2.9,,,,3
909,1989-03-28,2.9,,,,3
910,1989-03-29,2.9,,,,3
911,1989-03-30,2.9,,,,3
